Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Hans Albrecht Bethe,Physics,M,1967,62,France,Europe,USA,North America
Renth Ameri,Peace,M,1968,82,France,Europe,France,Europe
Yasunari Kawabata,Literature,M,1968,70,Japan,Asia,Japan,Asia
Robert W. Holley,Physiology or Medicine,M,1968,47,USA,North America,USA,North America
Har Gobind Khorana,Physiology or Medicine,M,1968,47,India,Asia,USA,North America
Marshall W. Nirenberg,Physiology or Medicine,M,1968,42,USA,North America,USA,North America
Lars Onsager,Chemistry,M,1968,66,Norway,Europe,USA,North America
Luis Walter Alvarez,Physics,M,1968,58,USA,North America,USA,North America
Ragnar Frisch,Economic,M,1969,75,Norway,Europe,Norway,Europe
Jan Tinbergen,Economic,M,1969,67,Netherlands,Europe,Netherlands,Europe
International Labour Organization,Peace,Org,1969,51,Switzerland,Europe,Switzerland,Europe
Samuel Beckett,Literature,M,1969,64,Ireland,Europe,France,Europe
Max Delbr Pr,Physiology or Medicine,M,1969,64,Germany,Europe,USA,North America
Alfred D. Hershey,Physiology or Medicine,M,1969,62,USA,North America,USA,North America
Salvador E. Luria,Physiology or Medicine,M,1969,58,Italy,Europe,USA,North America
Derek H. R. Barton,Chemistry,M,1969,52,United Kingdom,Europe,United Kingdom,Europe
Odd Hassel,Chemistry,M,1969,73,Norway,Europe,Norway,Europe
Murray Gell-Mann,Physics,M,1969,41,USA,North America,USA,North America
Paul A. Samuelson,Economic,M,1970,56,USA,North America,USA,North America
Norman E. Borlaug,Peace,M,1970,57,USA,North America,USA,North America
Aleksandr Isayevich Solzhenitsyn,Literature,M,1970,53,Russia,Europe,Russia,Europe
Sir Bernard Katz,Physiology or Medicine,M,1970,60,Germany,Europe,United Kingdom,Europe
Ulf von Euler,Physiology or Medicine,M,1970,66,Sweden,Europe,Sweden,Europe
Julius Axelrod,Physiology or Medicine,M,1970,59,USA,North America,USA,North America
Luis F. Leloir,Chemistry,M,1970,65,France,Europe,Argentina,South America
Louis Eugricaze in Chem,Physics,M,1970,67,France,Europe,France,Europe
Hannes Olof Gze in Physi,Physics,M,1970,63,Sweden,Europe,Sweden,Europe
Simon Kuznets,Economic,M,1971,71,USA,North America,USA,North America
Willy Brandt,Peace,M,1971,59,Germany,Europe,Germany,Europe
Pablo Neruda,Literature,M,1971,68,Chile,South America,Chile,South America
"Earl W. Sutherland, Jr.",Physiology or Medicine,M,1971,57,USA,North America,USA,North America
Gerhard Herzberg,Chemistry,M,1971,68,Germany,Europe,Canada,North America
Dennis Gabor,Physics,M,1971,71,Hungary,Europe,United Kingdom,Europe
John R. Hicks,Economic,M,1972,69,United Kingdom,Europe,United Kingdom,Europe
